"","datetime","file_name","well","port","screen_top","screen_bottom","monitoring_location","portloc","sensor_elev","baro_m","liner_m","value_m","head_masl","value_adj"
"23",2024-05-18 18:35:00,"ELR1-R2_Port02_082139_20240624_1810.rsk","ELR1-R2","02",122.55,122.95,122.76,"02 - 122.76 mbTOC",255.36,9.8836498297736,16.2834892825158,120.516447457834,365.992797628061,-3.68055666198192
"24",2024-05-18 18:35:00,"ELR1-R2_Port03_208672_20240624_1829.rsk","ELR1-R2","03",113.75,114.15,113.97,"03 - 113.97 mbTOC",264.15,9.8836498297736,16.2834892825158,111.772110760007,366.038460930234,-3.59562144863253
"25",2024-05-18 18:35:00,"ELR1-R2_Port04_078526_20240624_1824.rsk","ELR1-R2","04",107.9,108.3,108.11,"04 - 108.11 mbTOC",270.01,9.8836498297736,16.2834892825158,106.111641797464,366.23799196769,-3.56193470082661
"26",2024-05-18 18:35:00,"ELR1-R2_Port05_208677_20240624_1843.rsk","ELR1-R2","05",100.16,100.56,100.37,"05 - 100.37 mbTOC",277.75,9.8836498297736,16.2834892825158,98.2988494943285,366.165199664555,-3.52270148205599
"27",2024-05-18 18:35:00,"ELR1-R2_Port06_078528_20240624_1900.rsk","ELR1-R2","06",93.46,93.86,93.67,"06 - 93.67 mbTOC",284.45,9.8836498297736,16.2834892825158,91.7513071354307,366.317657305657,-3.63061674366327
"28",2024-05-18 18:35:00,"ELR1-R2_Port07_078189_20240624_1937.rsk","ELR1-R2","07",84.57,84.97,84.78,"07 - 84.78 mbTOC",293.34,9.8836498297736,16.2834892825158,81.4610817137415,364.917431883968,-3.35059554125579
"29",2024-05-18 18:35:00,"ELR1-R2_Port08_208649_20240624_1901.rsk","ELR1-R2","08",78.32,78.72,78.53,"08 - 78.53 mbTOC",299.59,9.8836498297736,16.2834892825158,77.0462738452927,366.752624015519,-2.99785772531719
"30",2024-05-18 18:35:00,"ELR1-R2_Port09_208656_20240624_1905.rsk","ELR1-R2","09",74.89,75.29,75.1,"09 - 75.1 mbTOC",303.02,9.8836498297736,16.2834892825158,73.8065045292358,366.942854699462,-2.82646870578515
"31",2024-05-18 18:35:00,"ELR1-R2_Port10_208650_20240624_1933.rsk","ELR1-R2","10",71.05,71.45,71.26,"10 - 71.26 mbTOC",306.86,9.8836498297736,16.2834892825158,70.1553510512745,367.131701221501,-2.68201528063194
"32",2024-05-18 18:35:00,"ELR1-R2_Port11_081843_20240624_2051.rsk","ELR1-R2","11",66.35,66.75,66.56,"11 - 66.56 mbTOC",311.56,9.8836498297736,16.2834892825158,65.6702566719968,367.346606842223,-2.54270515285047
"33",2024-05-18 18:35:00,"ELR1-R2_Port12_208653_20240624_1909.rsk","ELR1-R2","12",60.25,60.65,60.46,"12 - 60.46 mbTOC",317.66,9.8836498297736,16.2834892825158,59.8966499022501,367.673000072476,-2.20901641556934
"34",2024-05-18 18:35:00,"ELR1-R2_Port13_208658_20240624_2016.rsk","ELR1-R2","13",56.82,57.22,57.03,"13 - 57.03 mbTOC",321.09,9.8836498297736,16.2834892825158,56.6370631495788,367.843413319805,-2.11837899867063
"35",2024-05-18 18:35:00,"ELR1-R2_Port14_077919_20240624_2052.rsk","ELR1-R2","14",52.35,52.75,52.56,"14 - 52.56 mbTOC",325.56,9.8836498297736,16.2834892825158,52.5198544906018,368.196204660828,-1.89039701177538
"36",2024-05-18 18:35:00,"ELR1-R2_Port15_077923_20240624_1942.rsk","ELR1-R2","15",49.34,49.74,49.55,"15 - 49.55 mbTOC",328.57,9.8836498297736,16.2834892825158,49.5880168964371,368.274367066663,-1.94622050265477
"37",2024-05-18 18:35:00,"ELR1-R2_Port16_203023_20240624_2013.rsk","ELR1-R2","16",46.77,47.17,46.98,"16 - 46.98 mbTOC",331.14,9.8836498297736,16.2834892825158,47.2000081395544,368.456358309781,-1.83259400441088
"38",2024-05-18 18:35:00,"ELR1-R2_Port17_081547_20240624_1952.rsk","ELR1-R2","17",44.66,45.06,44.87,"17 - 44.87 mbTOC",333.25,9.8836498297736,16.2834892825158,45.2850425345619,368.651392704788,-1.66985931931286
"39",2024-05-18 18:35:00,"ELR1-R2_Port18_077916_20240624_2052.rsk","ELR1-R2","18",42.14,42.54,42.35,"18 - 42.35 mbTOC",335.77,9.8836498297736,16.2834892825158,42.9567274073467,368.843077577573,-1.61515049454684
"40",2024-05-18 18:35:00,"ELR1-R2_Port19_078075_20240624_2052.rsk","ELR1-R2","19",38.54,38.94,38.75,"19 - 38.75 mbTOC",339.37,9.8836498297736,16.2834892825158,39.4841605540215,368.970510724248,-1.54833443193882
"41",2024-05-18 18:35:00,"ELR1-R2_Port20_078074_20240624_2013.rsk","ELR1-R2","20",34.5,34.9,34.71,"20 - 34.71 mbTOC",343.41,9.8836498297736,16.2834892825158,39.4330582439436,372.95940841417,2.42083239654349
"42",2024-05-18 18:35:00,"ELR1-R2_Port21_078083_20240624_2020.rsk","ELR1-R2","21",31.2,31.6,31.42,"21 - 31.42 mbTOC",346.7,9.8836498297736,16.2834892825158,37.5287196221091,374.345069792335,3.87628780441054
